has_certification,gender,study_field,height_cm,weight_kg,10th_mark,12th_mark,ug_score,interests,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job
Yes,Female,BCA,155.0,43.0,79.0,61.0,70.0,Cinema,1 - 2 Hour,Night,13000.0,Yes,50.0,1.30 - 2 hour,0 - 30 minutes,awful,awful,No
Yes,Female,BCA,156.0,50.0,64.0,49.5,85.0,Reading books,2 - 3 hour,Night,100000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,bad,No
Yes,Female,BCA,160.0,50.0,86.0,68.0,80.0,Video Games,2 - 3 hour,Anytime,25000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,good,bad,No
Yes,Male,BCA,175.0,68.9,71.0,66.0,80.0,Video Games,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 1.30 hour,2 - 2.30 hour,good,good,No
Yes,Female,BCA,155.0,50.0,80.0,73.0,80.0,Cinema,0 - 30 minute,Anytime,50000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,good,bad,Yes
No,Male,Commerce,150.0,55.0,50.0,50.0,35.0,Sports,3 - 4 hour,Morning,15000.0,Yes,75.0,More than 2 hour,1 - 1.30 hour,good,bad,No
Yes,Male,Commerce,165.0,75.0,65.0,75.0,97.0,Cinema,0 - 30 minute,Anytime,15000.0,Yes,50.0,1 - 1.30 hour,0 - 30 minutes,good,good,Yes
No,Male,Commerce,156.0,50.0,90.0,80.0,80.0,Sports,1 - 2 Hour,Morning,15000.0,No,25.0,1 - 1.30 hour,30 - 60 minutes,awful,bad,No
Yes,Male,Commerce,167.0,53.0,85.0,91.0,88.0,Video Games,30 - 60 minute,Morning,40000.0,Yes,25.0,30 - 60 Minute,2 - 2.30 hour,bad,bad,No
Yes,Male,Commerce,165.0,64.0,75.0,70.0,70.0,Video Games,30 - 60 minute,Morning,15000.0,Yes,75.0,30 - 60 Minute,2.30 - 3 hour,good,good,Yes
Yes,Male,Commerce,190.0,106.0,82.0,78.0,80.0,Reading books,1 - 2 Hour,Anytime,25000.0,Yes,100.0,1 - 30 Minute,1.30 - 2 hour,good,bad,Yes
No,Male,Commerce,192.0,85.0,84.0,85.0,80.0,Cinema,30 - 60 minute,Anytime,25000.0,Yes,100.0,30 - 60 Minute,more than 3 hour,good,bad,No
Yes,Male,Commerce,173.0,58.0,91.0,83.5,80.0,Video Games,1 - 2 Hour,Night,35000.0,Yes,50.0,30 - 60 Minute,2 - 2.30 hour,bad,good,No
Yes,Female,Commerce,145.0,60.0,92.0,75.0,90.0,Cinema,3 - 4 hour,Anytime,18000.0,Yes,100.0,More than 2 hour,0 - 30 minutes,bad,good,No
Yes,Male,Commerce,170.0,90.0,75.0,75.0,80.0,Sports,30 - 60 minute,Anytime,40000.0,Yes,75.0,1 - 1.30 hour,1.30 - 2 hour,good,good,No
Yes,Male,Commerce,169.0,65.0,90.0,80.0,85.0,Cinema,3 - 4 hour,Anytime,20000.0,Yes,75.0,1.30 - 2 hour,more than 3 hour,good,good,No
Yes,Male,Commerce,175.0,59.0,81.0,64.0,85.0,Sports,1 - 2 Hour,Anytime,15000.0,Yes,50.0,1.30 - 2 hour,30 - 60 minutes,good,good,No
Yes,Female,Commerce,150.0,42.0,70.0,71.0,91.0,Sports,1 - 2 Hour,Anytime,20000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Male,Commerce,178.0,60.0,70.0,60.0,60.0,Sports,2 - 3 hour,Morning,25000.0,Yes,50.0,1 - 30 Minute,30 - 60 minutes,good,bad,Yes
Yes,Female,Commerce,157.0,40.0,93.0,86.0,85.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,50.0,More than 2 hour,30 - 60 minutes,good,bad,No
No,Female,Commerce,160.0,40.0,76.0,63.0,70.0,Sports,30 - 60 minute,Night,15000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,good,Yes
Yes,Male,Commerce,159.0,80.0,60.0,79.0,50.0,Cinema,30 - 60 minute,Morning,25000.0,Yes,0.0,More than 2 hour,1.30 - 2 hour,good,bad,No
No,Male,Commerce,182.0,57.0,83.7,76.77,80.0,Sports,30 - 60 minute,Night,11000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,bad,No
No,Female,Commerce,150.0,54.0,76.0,76.0,92.8,Sports,3 - 4 hour,Anytime,25000.0,Yes,100.0,1 - 1.30 hour,30 - 60 minutes,good,bad,No
Yes,Female,Commerce,154.0,62.0,70.0,50.0,60.0,Cinema,1 - 2 Hour,Night,20000.0,Yes,50.0,1 - 1.30 hour,30 - 60 minutes,bad,bad,No
Yes,Female,Commerce,165.0,75.0,91.0,70.0,80.0,Cinema,1 - 2 Hour,Anytime,10000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,bad,awful,No
Yes,Female,Commerce,150.0,40.0,80.0,75.0,70.0,Cinema,1 - 2 Hour,Morning,120000.0,Yes,50.0,1 - 1.30 hour,0 - 30 minutes,good,bad,No
Yes,Female,B.com ISM,149.0,50.0,60.0,60.0,60.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,bad,bad,No
No,Male,B.com ISM,150.0,48.0,60.0,77.0,50.0,Video Games,30 - 60 minute,Night,45000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,bad,bad,Yes
No,Female,B.com ISM,160.0,50.0,60.0,70.0,65.0,Sports,0 - 30 minute,Night,5000.0,Yes,25.0,30 - 60 Minute,1 - 1.30 hour,good,bad,No
Yes,Male,B.com ISM,173.0,92.0,54.0,65.0,2.0,Cinema,0 - 30 minute,Anytime,23000.0,Yes,100.0,More than 2 hour,1 - 1.30 hour,good,good,No
No,Male,B.com ISM,150.0,48.0,46.0,48.0,60.0,Sports,1 - 2 Hour,Anytime,30000.0,Yes,50.0,1 - 30 Minute,1 - 1.30 hour,bad,bad,No
Yes,Male,B.com ISM,163.0,80.0,76.0,47.0,30.0,Cinema,0 - 30 minute,Morning,500000.0,Yes,50.0,1 - 30 Minute,0 - 30 minutes,awful,awful,No
Yes,Male,B.com ISM,168.0,48.0,70.0,60.0,50.0,Sports,30 - 60 minute,Morning,40000.0,Yes,75.0,1 - 30 Minute,more than 3 hour,bad,bad,No
Yes,Male,B.com ISM,162.0,85.0,56.0,57.0,67.0,Sports,30 - 60 minute,Night,30000.0,Yes,75.0,30 - 60 Minute,1 - 1.30 hour,good,good,No
Yes,Male,B.com ISM,170.0,80.0,67.0,70.0,60.0,Sports,More Than 4 hour,Anytime,700000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,good,No
No,Male,B.com ISM,145.0,50.0,75.0,79.0,70.0,Reading books,1 - 2 Hour,Morning,12000.0,Yes,50.0,1 - 30 Minute,0 - 30 minutes,good,awful,No
No,Male,B.com ISM,160.0,52.0,65.0,70.0,65.0,Video Games,30 - 60 minute,Night,20000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
No,Male,B.com ISM,180.0,65.0,86.0,86.0,89.0,Video Games,30 - 60 minute,Anytime,20000.0,Yes,50.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
No,Male,B.com ISM,149.0,35.0,70.0,67.0,65.0,Video Games,1 - 2 Hour,Anytime,15000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,good,No
No,Male,B.com ISM,173.0,60.0,60.0,52.0,60.0,Video Games,1 - 2 Hour,Night,20000.0,Yes,50.0,30 - 60 Minute,1 - 1.30 hour,bad,bad,No
No,Female,B.com ISM,149.0,40.0,60.0,60.0,60.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,bad,good,No
Yes,Male,B.com ISM,170.0,55.0,50.0,50.0,50.0,Cinema,30 - 60 minute,Night,10000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,bad,good,Yes
No,Female,B.com ISM,155.0,39.0,45.0,45.0,50.0,Sports,3 - 4 hour,Night,10.0,No,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Male,B.com ISM,153.0,45.0,67.0,54.0,86.0,Cinema,30 - 60 minute,Morning,30000.0,Yes,100.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,B.com ISM,170.0,65.0,79.0,62.0,60.0,Cinema,1 - 2 Hour,Morning,25000.0,Yes,75.0,1 - 30 Minute,0 - 30 minutes,good,good,No
No,Male,B.com ISM,173.0,75.0,60.0,50.0,55.0,Sports,1 - 2 Hour,Anytime,20000.0,Yes,75.0,1 - 30 Minute,1.30 - 2 hour,bad,bad,No
Yes,Male,B.com ISM,170.0,60.0,50.0,50.0,50.0,Reading books,1 - 2 Hour,Anytime,50000.0,Yes,75.0,More than 2 hour,1 - 1.30 hour,bad,good,Yes
Yes,Male,B.com ISM,120.0,74.0,80.0,70.0,70.0,Cinema,1 - 2 Hour,Anytime,15000.0,Yes,75.0,More than 2 hour,30 - 60 minutes,bad,bad,Yes
Yes,Female,Commerce,160.0,68.0,96.0,92.0,80.0,Cinema,3 - 4 hour,Morning,10000.0,Yes,75.0,1.30 - 2 hour,0 - 30 minutes,good,good,No
No,Male,Commerce,140.0,86.0,76.0,83.0,70.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,50.0,More than 2 hour,30 - 60 minutes,good,bad,No
Yes,Male,Commerce,165.0,60.0,55.0,50.0,60.0,Sports,0 - 30 minute,Morning,13000.0,Yes,50.0,1 - 30 Minute,1 - 1.30 hour,good,bad,No
Yes,Male,Commerce,161.0,55.0,89.0,79.0,70.0,Sports,30 - 60 minute,Morning,10000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,bad,No
Yes,Female,Commerce,146.0,39.0,95.6,86.0,85.0,Cinema,1 - 2 Hour,Anytime,13000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Male,Commerce,155.0,70.0,60.0,60.0,60.0,Sports,2 - 3 hour,Night,15000.0,Yes,50.0,More than 2 hour,1 - 1.30 hour,good,good,Yes
No,Male,Commerce,120.0,80.0,81.0,80.0,70.0,Cinema,30 - 60 minute,Night,20000.0,Yes,50.0,More than 2 hour,0 - 30 minutes,good,good,Yes
Yes,Male,Commerce,160.0,70.0,84.0,76.0,70.0,Video Games,30 - 60 minute,Anytime,15000.0,Yes,75.0,More than 2 hour,1 - 1.30 hour,bad,bad,Yes
Yes,Female,Commerce,152.0,32.0,80.0,60.0,70.0,Sports,1 - 2 Hour,Night,15.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,bad,good,No
No,Male,Commerce,168.0,75.0,75.0,65.0,75.0,Cinema,1 - 2 Hour,Morning,22.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
Yes,Female,Commerce,152.0,64.0,90.4,80.0,80.0,Cinema,1 - 2 Hour,Anytime,15000.0,Yes,75.0,30 - 60 Minute,1 - 1.30 hour,good,good,No
No,Male,Commerce,156.0,45.0,85.0,75.0,70.0,Sports,More Than 4 hour,Anytime,12000.0,Yes,75.0,1 - 1.30 hour,2 - 2.30 hour,good,bad,Yes
Yes,Female,Commerce,151.0,55.0,93.8,83.5,100.0,Reading books,1 - 2 Hour,Morning,15000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,good,Yes
No,Female,Commerce,165.0,62.0,78.0,75.0,90.0,Sports,2 - 3 hour,Anytime,15000.0,Yes,100.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Female,Commerce,160.0,60.0,75.0,85.0,90.0,Cinema,2 - 3 hour,Anytime,20000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Female,Commerce,153.0,58.0,85.0,74.0,75.0,Cinema,0 - 30 minute,Anytime,20000.0,Yes,75.0,More than 2 hour,0 - 30 minutes,awful,good,No
Yes,Male,Commerce,175.0,75.0,88.0,85.0,90.0,Sports,30 - 60 minute,Morning,20000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,good,good,No
No,Male,Commerce,161.0,54.0,90.0,73.0,80.0,Cinema,30 - 60 minute,Morning,20000.0,Yes,100.0,30 - 60 Minute,more than 3 hour,bad,bad,No
Yes,Male,Commerce,160.0,60.0,85.0,80.0,80.0,Cinema,30 - 60 minute,Anytime,20000.0,Yes,100.0,1 - 30 Minute,30 - 60 minutes,awful,bad,No
Yes,Female,Commerce,153.0,45.0,83.0,73.0,75.0,Cinema,0 - 30 minute,Morning,20000.0,Yes,75.0,30 - 60 Minute,0 - 30 minutes,good,good,No
Yes,Male,Commerce,160.0,50.0,85.0,80.0,60.0,Sports,30 - 60 minute,Night,100.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,bad,No
Yes,Male,Commerce,170.0,65.0,82.0,73.0,80.0,Cinema,0 - 30 minute,Anytime,16000.0,Yes,50.0,1.30 - 2 hour,0 - 30 minutes,good,bad,No
Yes,Female,Commerce,152.0,65.0,97.0,80.0,100.0,Reading books,3 - 4 hour,Morning,15000.0,Yes,100.0,30 - 60 Minute,0 - 30 minutes,good,good,Yes
Yes,Female,Commerce,164.0,43.0,80.0,89.0,95.0,Reading books,2 - 3 hour,Morning,15000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,good,No
Yes,Female,Commerce,167.0,65.0,93.0,85.0,90.0,Reading books,1 - 2 Hour,Night,15000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Male,B.com ISM,167.0,55.0,55.0,57.0,60.0,Sports,30 - 60 minute,Anytime,17000.0,Yes,25.0,0 Minute,0 - 30 minutes,awful,bad,No
Yes,Male,B.com ISM,155.0,68.0,75.0,75.0,65.0,Sports,1 - 2 Hour,Anytime,500.0,Yes,100.0,1.30 - 2 hour,1 - 1.30 hour,good,good,No
No,Female,B.com ISM,153.0,60.0,60.0,70.0,70.0,Sports,1 - 2 Hour,Anytime,15000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,bad,No
Yes,Male,B.com ISM,170.0,76.0,72.0,67.0,65.0,Video Games,30 - 60 minute,Morning,7000.0,Yes,50.0,More than 2 hour,30 - 60 minutes,bad,bad,No
Yes,Male,B.com ISM,172.0,52.0,72.0,70.0,76.0,Cinema,2 - 3 hour,Anytime,25000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Female,BCA,139.0,33.0,90.0,75.0,70.0,Cinema,30 - 60 minute,Night,20000.0,Yes,50.0,30 - 60 Minute,2.30 - 3 hour,bad,good,No
Yes,Female,Commerce,153.0,58.0,85.0,74.0,75.0,Cinema,0 - 30 minute,Anytime,20000.0,Yes,75.0,More than 2 hour,2.30 - 3 hour,awful,good,No
No,Female,B.com ISM,155.0,39.0,45.0,45.0,50.0,Sports,3 - 4 hour,Night,10.0,No,75.0,30 - 60 Minute,2.30 - 3 hour,good,good,No
